City;Lat;Lng
Aachen;50.783;6.083
Aalen;48.833;10.100
Aarbergen;50.233;8.083
Abenberg;49.250;10.967
Abensberg;48.817;11.850
Absberg;49.150;10.883
Abstatt;49.067;9.283
Abtsteinach;49.550;8.783
Achberg;47.633;9.717
Achim;53.017;9.033
Achslach;48.967;12.933
Achstetten;48.267;9.900
Achtrup;54.783;9.033
Adelberg;48.767;9.600
Adelebsen;51.583;9.750
Adelheidsdorf;52.567;10.067
Adelmannsfelden;48.950;10.000
Adelschlag;48.833;11.217
Adelsdorf;49.717;10.900
Adelsheim;49.400;9.400
Adelshofen;49.433;10.183
Adelsried;48.433;10.717
Adenau;50.383;6.933
Adenbüttel;52.383;10.450
Adendorf;53.283;10.450
Adenstedt;52.000;9.933
Adlkofen;48.550;12.267
Adorf;50.321;12.257
Adorf;50.755;12.880
Aerzen;52.050;9.267
Affalterbach;48.917;9.317
Affing;48.467;10.983
Aga;50.963;12.091
Aglasterhausen;49.350;8.983
Aham;48.533;12.467
Ahaus;52.083;7.017
Ahausen;53.067;9.317
Ahlbeck;53.672;14.188
Ahlden;52.767;9.550
Ahlen;51.767;7.883
Ahlerstedt;53.400;9.450
Ahlsdorf;51.546;11.474
Ahnatal;51.367;9.400
Ahnsbeck;52.617;10.283
Ahnsen;52.267;9.100
Aholfing;48.950;12.467
Aholming;48.733;12.917
Ahorn;49.500;9.533
Ahorn;50.233;10.950
Ahorntal;49.850;11.433
Ahrbrück;50.483;6.983
Ahrensburg;53.667;10.233
Ahrensbök;54.017;10.567
Ahrenshagen;54.245;12.594
Aicha Vorm Wald;48.667;13.300
Aichach;48.467;11.133
Aichen;48.233;10.550
Aichhalden;48.267;8.400
Aichstetten;47.883;10.050
Aichtal;48.633;9.267
Aichwald;48.767;9.383
Aidenbach;48.567;13.083
Aidhausen;50.150;10.433
Aidlingen;48.683;8.900
Aiglsbach;48.700;11.717
Aindling;48.517;10.967
Ainring;47.817;12.950
Aislingen;48.500;10.450
Aiterhofen;48.850;12.617
Aitrach;47.950;10.083
Aitrang;47.817;10.533
Aken;51.856;12.043
Albbruck;47.600;8.133
Albersdorf;54.150;9.283
Albershausen;48.700;9.567
Albersweiler;49.217;8.033
Albertshofen;49.767;10.167
Albig;49.783;8.117
Albisheim (Pfrimm);49.650;8.100
Albstadt;48.217;9.033
Aldenhoven;50.900;6.283
Aldersbach;48.583;13.083
Aldingen;48.100;8.700
Alerheim;48.850;10.617
Aletshausen;48.200;10.383
Alf;50.050;7.133
Alfdorf;48.850;9.717
Alfeld;49.433;11.550
Alfeld (Leine);51.983;9.833
Alfhausen;52.500;7.950
Alfter;50.733;7.017
Algermissen;52.250;9.967
Alheim;51.033;9.667
Allendorf (Eder);51.033;8.667
Allendorf (Lumda);50.683;8.817
Allensbach;47.717;9.067
Allersberg;49.250;11.233
Allershausen;48.433;11.600
Alling;48.133;11.300
Allmendingen;48.333;9.733
Allmersbach im Tal;48.917;9.467
Allstedt;51.404;11.388
Almstedt;52.033;9.967
Alpenrod;50.633;7.867
Alpirsbach;48.333;8.467
Alsbach-Hähnlein;49.733;8.633
Alsdorf;50.783;7.883
Alsdorf;50.883;6.167
Alsenz;49.733;7.817
Alsfeld;50.750;9.267
Alsheim;49.767;8.350
Alsleben;51.702;11.674
Alt Duvenstedt;54.367;9.650
Alt-Ruppin;52.947;12.847
Altbach;48.717;9.383
Altdorf;48.550;12.117
Altdorf;48.633;9.000
Altdorf Bei Nürnberg;49.383;11.350
Altdöbern;51.654;14.041
Alteglofsheim;48.917;12.200
Altena;51.300;7.667
Altenahr;50.517;6.983
Altenau;51.800;10.450
Altenbeken;51.767;8.950
Altenberg;50.761;13.768
Altenberge;52.050;7.467
Altenbuch;49.833;9.400
Altenburg;50.995;12.446
Altendiez;50.367;7.983
Altendorf;49.800;11.017
Altenfeld;50.564;10.963
Altenglan;49.550;7.467
Altengottern;51.165;10.583
Altenholz;54.400;10.117
Altenkirchen;49.450;7.317
Altenkirchen (Westerwald);50.683;7.650
Altenkrempe;54.133;10.833
Altenkunstadt;50.133;11.250
Altenmarkt an der Alz;48.000;12.533
