title;type;url;mail;endpoint;begin;population;lat;lon;nuts;territorial;municipality
Österreich;country;http://data.gv.at/;;;;8504850;47.6;13.78;AT;;2354
Statistik Österreich;other;http://data.statistik.gv.at;;;;0;48.18;16.42;AT_autista;;
Open Data Portal Österreich;other;https://www.opendataportal.at/;;;;0;48.2;16.35;AT_odp;;
Wirtschaftsuniversität Wien;other;http://data.wu.ac.at/;;;;0;48.21;16.4;AT_wuw;;
Niederösterreich;state;http://data.noe.gv.at/;;;;1618592;48;16;AT12;;573
Wien;city+state;http://data.wien.gv.at/;;;;1741246;48.2;16.37;AT13;;1
Kärnten;state;http://data.ktn.gv.at/;;;;555473;46.76;13.81;AT21;;132
Klagenfurt;city;http://www.data.gv.at/auftritte/?organisation=stadt-klagenfurt;;;;95450;46.61;14.3;AT21120101;;
Steiermark;state;http://data.steiermark.at/;;;;1210971;47.47;13.6;AT22;;539
Graz;city;http://data.graz.gv.at/;;;;265778;47.06;15.43;AT221;;
Oberösterreich;state;http://data.ooe.gv.at/;;;;1418498;48;13.5;AT31;;444
Linz;city;http://data.linz.gv.at/;;;;191501;48.3;14.29;AT31240101;;
Engerwitzdorf;city;http://data.engerwitzdorf.gv.at/;;;;8552;48.33;14.42;AT31241605;;
Kremsmünster;city;http://www.data.gv.at/auftritte/?organisation=gemeinde-kremsmuenster;;;;6419;48.05;14.13;AT31440907;;
Salzburg (Land);state;http://data.salzburg.gv.at/;;;2014-06-30;531898;47.84;13.28;AT32;;119
Salzburg (Stadt);city;http://data.stadt-salzburg.at/;;;;145871;47.8;13.03;AT32350101;;
Tirol;state;http://data.tirol.gv.at/;;;;715888;47;11.33;AT33;;279
Innsbruck;city;http://data.innsbruck.gv.at/;;;;122458;47.26;11.39;AT332;;
Vorarlberg;state;http://data.vorarlberg.gv.at/;;;;376347;47.24;9.89;AT34;;96
Schweiz;country;http://opendata.swiss/;;;;8112200;46.8;8.23;CH;;2551
Kanton Genf;state;https://opendata.swiss/de/organization/canton-geneve;;;;484400;46.36;6.17;CH013;;
Bern;city;https://opendata.swiss/de/organization/stadt-bern;;;;127515;46.95;7.43;CH0210351;;
Kanton Basel-Stadt;state;https://opendata.swiss/de/organization/kanton-basel-stadt;;;;191800;47.59;7.69;CH031;;
Kanton Zürich;state;https://opendata.swiss/de/organization/kanton-zuerich;;;;1466100;47.69;8.64;CH040;;
Zürich;city;http://www.stadt-zuerich.ch/opendata;;;;400028;47.37;8.54;CH0400261;;
govdata - Datenportal für Deutschland;country+other;https://www.govdata.de/;;;;80380000;53.55;9.98;DE;0;11116
